lajoina01,Triple Crown,1901,AL,
chaseha01,Baseball Magazine All-Star,1908,AL,1B
lajoina01,Baseball Magazine All-Star,1908,AL,2B
lordha01,Baseball Magazine All-Star,1908,AL,3B
crigelo01,Baseball Magazine All-Star,1908,AL,C
sullibi03,Baseball Magazine All-Star,1908,AL,C
crawfsa01,Baseball Magazine All-Star,1908,AL,CF
stonege01,Baseball Magazine All-Star,1908,AL,LF
cobbty01,Baseball Magazine All-Star,1908,AL,RF
wallabo01,Baseball Magazine All-Star,1908,AL,SS
chaseha01,Baseball Magazine All-Star,1908,ML,1B
lajoina01,Baseball Magazine All-Star,1908,ML,2B
devliar01,Baseball Magazine All-Star,1908,ML,3B
bresnro01,Baseball Magazine All-Star,1908,ML,C
klingjo01,Baseball Magazine All-Star,1908,ML,C
donlimi01,Baseball Magazine All-Star,1908,ML,CF
clarkfr01,Baseball Magazine All-Star,1908,ML,LF
cobbty01,Baseball Magazine All-Star,1908,ML,RF
wagneho01,Baseball Magazine All-Star,1908,ML,SS
tennefr02,Baseball Magazine All-Star,1908,NL,1B
eversjo01,Baseball Magazine All-Star,1908,NL,2B
devliar01,Baseball Magazine All-Star,1908,NL,3B
bresnro01,Baseball Magazine All-Star,1908,NL,C
klingjo01,Baseball Magazine All-Star,1908,NL,C
donlimi01,Baseball Magazine All-Star,1908,NL,CF
clarkfr01,Baseball Magazine All-Star,1908,NL,LF
schulfr01,Baseball Magazine All-Star,1908,NL,RF
wagneho01,Baseball Magazine All-Star,1908,NL,SS
chaseha01,Baseball Magazine All-Star,1909,AL,1B
collied01,Baseball Magazine All-Star,1909,AL,2B
lordha01,Baseball Magazine All-Star,1909,AL,3B
carribi02,Baseball Magazine All-Star,1909,AL,C1
sullibi03,Baseball Magazine All-Star,1909,AL,C2
streega01,Baseball Magazine All-Star,1909,AL,C3
speaktr01,Baseball Magazine All-Star,1909,AL,CF
crawfsa01,Baseball Magazine All-Star,1909,AL,LF
cobbty01,Baseball Magazine All-Star,1909,AL,RF
bushdo01,Baseball Magazine All-Star,1909,AL,SS
chaseha01,Baseball Magazine All-Star,1909,ML,1B
collied01,Baseball Magazine All-Star,1909,ML,2B
lordha01,Baseball Magazine All-Star,1909,ML,3B
klingjo01,Baseball Magazine All-Star,1909,ML,C1
carribi02,Baseball Magazine All-Star,1909,ML,C2
gibsoge01,Baseball Magazine All-Star,1909,ML,C3
speaktr01,Baseball Magazine All-Star,1909,ML,CF
clarkfr01,Baseball Magazine All-Star,1909,ML,LF
cobbty01,Baseball Magazine All-Star,1909,ML,RF
wagneho01,Baseball Magazine All-Star,1909,ML,SS
chancfr01,Baseball Magazine All-Star,1909,NL,1B
eversjo01,Baseball Magazine All-Star,1909,NL,2B
devliar01,Baseball Magazine All-Star,1909,NL,3B
klingjo01,Baseball Magazine All-Star,1909,NL,C1
gibsoge01,Baseball Magazine All-Star,1909,NL,C2
bresnro01,Baseball Magazine All-Star,1909,NL,C3
leachto01,Baseball Magazine All-Star,1909,NL,CF
clarkfr01,Baseball Magazine All-Star,1909,NL,LF
hofmaso01,Baseball Magazine All-Star,1909,NL,RF
wagneho01,Baseball Magazine All-Star,1909,NL,SS
cobbty01,Triple Crown,1909,AL,
chaseha01,Baseball Magazine All-Star,1910,AL,1B
lajoina01,Baseball Magazine All-Star,1910,AL,2B
lordha01,Baseball Magazine All-Star,1910,AL,3B
thomair01,Baseball Magazine All-Star,1910,AL,C1
sweened01,Baseball Magazine All-Star,1910,AL,C2
speaktr01,Baseball Magazine All-Star,1910,AL,CF
stonege01,Baseball Magazine All-Star,1910,AL,LF
cobbty01,Baseball Magazine All-Star,1910,AL,RF
wallabo01,Baseball Magazine All-Star,1910,AL,SS
chaseha01,Baseball Magazine All-Star,1910,ML,1B
lajoina01,Baseball Magazine All-Star,1910,ML,2B
devliar01,Baseball Magazine All-Star,1910,ML,3B
gibsoge01,Baseball Magazine All-Star,1910,ML,C1
archeji01,Baseball Magazine All-Star,1910,ML,C2
speaktr01,Baseball Magazine All-Star,1910,ML,CF
mageesh01,Baseball Magazine All-Star,1910,ML,LF
cobbty01,Baseball Magazine All-Star,1910,ML,RF
wagneho01,Baseball Magazine All-Star,1910,ML,SS
chancfr01,Baseball Magazine All-Star,1910,NL,1B
eversjo01,Baseball Magazine All-Star,1910,NL,2B
devliar01,Baseball Magazine All-Star,1910,NL,3B
gibsoge01,Baseball Magazine All-Star,1910,NL,C1
archeji01,Baseball Magazine All-Star,1910,NL,C2
leachto01,Baseball Magazine All-Star,1910,NL,CF
mageesh01,Baseball Magazine All-Star,1910,NL,LF
schulfr01,Baseball Magazine All-Star,1910,NL,RF
wagneho01,Baseball Magazine All-Star,1910,NL,SS
chaseha01,Baseball Magazine All-Star,1911,AL,1B
collied01,Baseball Magazine All-Star,1911,AL,2B
bakerfr01,Baseball Magazine All-Star,1911,AL,3B
thomair01,Baseball Magazine All-Star,1911,AL,C1
carribi02,Baseball Magazine All-Star,1911,AL,C2
stanaos01,Baseball Magazine All-Star,1911,AL,C3
cobbty01,Baseball Magazine All-Star,1911,AL,CF
crawfsa01,Baseball Magazine All-Star,1911,AL,LF
jacksjo01,Baseball Magazine All-Star,1911,AL,RF
bushdo01,Baseball Magazine All-Star,1911,AL,SS
chaseha01,Baseball Magazine All-Star,1911,ML,1B
collied01,Baseball Magazine All-Star,1911,ML,2B
bakerfr01,Baseball Magazine All-Star,1911,ML,3B
bresnro01,Baseball Magazine All-Star,1911,ML,C1
dooinre01,Baseball Magazine All-Star,1911,ML,C2
meyerch01,Baseball Magazine All-Star,1911,ML,C3
thomair01,Baseball Magazine All-Star,1911,ML,C4
cobbty01,Baseball Magazine All-Star,1911,ML,CF
clarkfr01,Baseball Magazine All-Star,1911,ML,LF
jacksjo01,Baseball Magazine All-Star,1911,ML,RF
wagneho01,Baseball Magazine All-Star,1911,ML,SS
daubeja01,Baseball Magazine All-Star,1911,NL,1B
doylela01,Baseball Magazine All-Star,1911,NL,2B
loberha01,Baseball Magazine All-Star,1911,NL,3B
bresnro01,Baseball Magazine All-Star,1911,NL,C1
dooinre01,Baseball Magazine All-Star,1911,NL,C2
meyerch01,Baseball Magazine All-Star,1911,NL,C3
archeji01,Baseball Magazine All-Star,1911,NL,C4
donlimi01,Baseball Magazine All-Star,1911,NL,CF
clarkfr01,Baseball Magazine All-Star,1911,NL,LF
schulfr01,Baseball Magazine All-Star,1911,NL,RF
wagneho01,Baseball Magazine All-Star,1911,NL,SS
cobbty01,Most Valuable Player,1911,AL,
schulfr01,Most Valuable Player,1911,NL,
mcinnst01,Baseball Magazine All-Star,1912,AL,1B
collied01,Baseball Magazine All-Star,1912,AL,2B
gardnla01,Baseball Magazine All-Star,1912,AL,3B
stanaos01,Baseball Magazine All-Star,1912,AL,C1
ainsmed01,Baseball Magazine All-Star,1912,AL,C2
cobbty01,Baseball Magazine All-Star,1912,AL,OF
jacksjo01,Baseball Magazine All-Star,1912,AL,OF
speaktr01,Baseball Magazine All-Star,1912,AL,OF
wagnehe01,Baseball Magazine All-Star,1912,AL,SS
daubeja01,Baseball Magazine All-Star,1912,ML,1B
eversjo01,Baseball Magazine All-Star,1912,ML,2B
zimmehe01,Baseball Magazine All-Star,1912,ML,3B
archeji01,Baseball Magazine All-Star,1912,ML,C1
meyerch01,Baseball Magazine All-Star,1912,ML,C2
cobbty01,Baseball Magazine All-Star,1912,ML,OF
jacksjo01,Baseball Magazine All-Star,1912,ML,OF
speaktr01,Baseball Magazine All-Star,1912,ML,OF
wagneho01,Baseball Magazine All-Star,1912,ML,SS
daubeja01,Baseball Magazine All-Star,1912,NL,1B
eversjo01,Baseball Magazine All-Star,1912,NL,2B
zimmehe01,Baseball Magazine All-Star,1912,NL,3B
archeji01,Baseball Magazine All-Star,1912,NL,C1
meyerch01,Baseball Magazine All-Star,1912,NL,C2
mageesh01,Baseball Magazine All-Star,1912,NL,OF
paskedo01,Baseball Magazine All-Star,1912,NL,OF
wilsoch01,Baseball Magazine All-Star,1912,NL,OF
wagneho01,Baseball Magazine All-Star,1912,NL,SS
speaktr01,Most Valuable Player,1912,AL,
doylela01,Most Valuable Player,1912,NL,
mcinnst01,Baseball Magazine All-Star,1913,AL,1B
collied01,Baseball Magazine All-Star,1913,AL,2B
bakerfr01,Baseball Magazine All-Star,1913,AL,3B
schanwa01,Baseball Magazine All-Star,1913,AL,C
cobbty01,Baseball Magazine All-Star,1913,AL,OF
jacksjo01,Baseball Magazine All-Star,1913,AL,OF
speaktr01,Baseball Magazine All-Star,1913,AL,OF
barryja01,Baseball Magazine All-Star,1913,AL,SS
daubeja01,Baseball Magazine All-Star,1913,ML,1B
collied01,Baseball Magazine All-Star,1913,ML,2B
bakerfr01,Baseball Magazine All-Star,1913,ML,3B
archeji01,Baseball Magazine All-Star,1913,ML,C
cobbty01,Baseball Magazine All-Star,1913,ML,OF
jacksjo01,Baseball Magazine All-Star,1913,ML,OF
speaktr01,Baseball Magazine All-Star,1913,ML,OF
wagneho01,Baseball Magazine All-Star,1913,ML,SS
