America East,albany-ny,Albany
America East,umbc,UMBC
America East,vermont,Vermont
America East,binghamton,Binghamton
America East,mass-lowell,Massachusetts Lowell
America East,hartford,Hartford
America East,stony-brook,Stony Brook
America East,new-hampshire,New Hampshire
America East,maine,Maine
American Athletic Conference,cincinnati,Cincinnati
American Athletic Conference,houston,Houston
American Athletic Conference,wichita-st,Wichita State
American Athletic Conference,smu,SMU
American Athletic Conference,tulane,Tulane
American Athletic Conference,ucf,UCF
American Athletic Conference,memphis,Memphis
American Athletic Conference,uconn,Connecticut
American Athletic Conference,temple,Temple
American Athletic Conference,tulsa,Tulsa
American Athletic Conference,east-carolina,East Carolina
American Athletic Conference,south-fla,South Florida
Atlantic 10,st-bonaventure,St. Bonaventure
Atlantic 10,duquesne,Duquesne
Atlantic 10,rhode-island,Rhode Island
Atlantic 10,vcu,Virginia Commonwealth
Atlantic 10,massachusetts,Massachusetts
Atlantic 10,saint-louis,Saint Louis
Atlantic 10,george-washington,George Washington
Atlantic 10,george-mason,George Mason
Atlantic 10,la-salle,La Salle
Atlantic 10,dayton,Dayton
Atlantic 10,fordham,Fordham
Atlantic 10,saint-josephs,Saint Joseph's (PA)
Atlantic 10,davidson,Davidson
Atlantic 10,richmond,Richmond
ACC,boston-college,Boston College
ACC,miami-fl,Miami (FL)
ACC,clemson,Clemson
ACC,florida-st,Florida State
ACC,virginia,Virginia
ACC,north-carolina,North Carolina
ACC,syracuse,Syracuse
ACC,virginia-tech,Virginia Tech
ACC,louisville,Louisville
ACC,north-carolina-st,North Carolina State
ACC,notre-dame,Notre Dame
ACC,wake-forest,Wake Forest
ACC,pittsburgh,Pittsburgh
ACC,georgia-tech,Georgia Tech
ACC,duke,Duke
Atlantic Sun,lipscomb,Lipscomb
Atlantic Sun,njit,N.J.I.T.
Atlantic Sun,fgcu,Florida Gulf Coast
Atlantic Sun,stetson,Stetson
Atlantic Sun,north-florida,North Florida
Atlantic Sun,jacksonville,Jacksonville
Atlantic Sun,usc-upstate,USC Upstate
Atlantic Sun,kennesaw-st,Kennesaw State
Big 12,tcu,TCU
Big 12,texas-tech,Texas Tech
Big 12,oklahoma,Oklahoma
Big 12,west-virginia,West Virginia
Big 12,baylor,Baylor
Big 12,kansas,Kansas
Big 12,kansas-st,Kansas State
Big 12,oklahoma-st,Oklahoma State
Big 12,iowa-st,Iowa State
Big 12,texas,Texas
Big East,villanova,Villanova
Big East,xavier,Xavier
Big East,georgetown,Georgetown
Big East,creighton,Creighton
Big East,seton-hall,Seton Hall
Big East,st-johns-ny,St. John's
Big East,butler,Butler
Big East,marquette,Marquette
Big East,providence,Providence
Big East,depaul,DePaul
Big Sky,portland-st,Portland State
Big Sky,northern-colo,Northern Colorado
Big Sky,idaho,Idaho
Big Sky,montana,Montana
Big Sky,weber-st,Weber State
Big Sky,southern-utah,Southern Utah
Big Sky,montana-st,Montana State
Big Sky,idaho-st,Idaho State
Big Sky,eastern-wash,Eastern Washington
Big Sky,north-dakota,North Dakota
Big Sky,sacramento-st,Sacramento State
Big Sky,northern-ariz,Northern Arizona
Big South,liberty,Liberty
Big South,winthrop,Winthrop
Big South,presbyterian,Presbyterian
Big South,unc-asheville,UNC Asheville
Big South,campbell,Campbell
Big South,radford,Radford
Big South,charleston-so,Charleston Southern
Big South,high-point,High Point
Big South,gardner-webb,Gardner-Webb
Big South,longwood,Longwood
Big Ten,michigan-st,Michigan State
Big Ten,purdue,Purdue
Big Ten,ohio-st,Ohio State
Big Ten,maryland,Maryland
Big Ten,michigan,Michigan
Big Ten,minnesota,Minnesota
Big Ten,penn-st,Penn State
Big Ten,nebraska,Nebraska
Big Ten,northwestern,Northwestern
Big Ten,indiana,Indiana
Big Ten,wisconsin,Wisconsin
Big Ten,rutgers,Rutgers
Big Ten,illinois,Illinois
Big Ten,iowa,Iowa
Big West,uc-santa-barbara,UC Santa Barbara
Big West,hawaii,Hawaii
Big West,uc-davis,UC Davis
Big West,cal-st-fullerton,Cal State Fullerton
Big West,uc-riverside,UC Riverside
Big West,long-beach-st,Long Beach State
Big West,uc-irvine,UC Irvine
Big West,cal-poly,Cal Poly
Big West,cal-st-northridge,Cal State Northridge
Colonial Athletic,towson,Towson
Colonial Athletic,col-of-charleston,Charleston
Colonial Athletic,william-mary,William & Mary
Colonial Athletic,elon,Elon
Colonial Athletic,hofstra,Hofstra
Colonial Athletic,northeastern,Northeastern
Colonial Athletic,delaware,Delaware
Colonial Athletic,drexel,Drexel
Colonial Athletic,james-madison,James Madison
Colonial Athletic,unc-wilmington,North Carolina-Wilmington
Conference USA,middle-tenn,Middle Tennessee
Conference USA,old-dominion,Old Dominion
